name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Eyes Blue Like The Atlantic (feat. Subvrbs),0.768,0.339,0,-13.169,1,0.777,0.608,0.000956,0.261,0.568,76.229
Jungle,0.538,0.52,7,-11.063,0,0.737,0.308,0,0.214,0.551,180.274
No More Parties,0.847,0.405,11,-10.901,1,0.584,0.232,5.37E-06,0.0944,0.588,156.999
Dead and Cold,0.793,0.441,2,-10.297,0,0.579,0.867,0,0.111,0.753,74.746
Hell N Back,0.584,0.684,10,-4.314,0,0.567,0.312,9.05E-05,0.112,0.72,210.164
No More Parties - Remix,0.827,0.394,11,-10.073,1,0.559,0.253,0,0.12,0.715,157
For the Last Time,0.844,0.533,1,-9.612,1,0.552,0.0735,3.46E-06,0.0953,0.23,140.078
21,0.783,0.479,7,-10.646,1,0.541,0.149,0,0.101,0.533,176.027
Carry On,0.735,0.197,3,-13.378,0,0.537,0.768,0.000276,0.296,0.383,147.899
TPL x Fumez The Engineer - Plugged In Freestyle,0.874,0.422,10,-14.41,0,0.535,0.0829,0,0.12,0.276,140.001
STORY,0.528,0.854,7,-3.94,1,0.532,0.645,0,0.617,0.512,179.835
Yes Indeed,0.963,0.346,5,-9.309,0,0.53,0.0355,0,0.108,0.562,119.957
Violent Crimes,0.669,0.419,1,-6.724,0,0.522,0.376,0,0.187,0.0397,109.813
Epidemic,0.616,0.617,1,-8.431,1,0.52,0.128,0,0.177,0.476,175.929
I Forgot That You Existed,0.664,0.316,5,-10.345,1,0.519,0.298,2.03E-06,0.0812,0.541,92.875
River (feat. Ed Sheeran),0.748,0.749,8,-5.916,0,0.516,0.142,0,0.0713,0.659,90.09
Freak (feat. REI AMI),0.619,0.45,7,-11.965,0,0.515,0.433,0,0.513,0.41,179.755
Caroline,0.94,0.335,5,-10.179,0,0.505,0.17,0,0.262,0.707,120.04
Ready or Not,0.607,0.422,10,-13.364,0,0.499,0.209,0,0.0839,0.563,130.47
Life Is Good (feat. Drake),0.795,0.574,2,-6.903,0,0.487,0.067,0,0.15,0.537,142.053
All Falls Down,0.657,0.734,8,-4.832,0,0.484,0.149,0,0.139,0.434,91.03
Life Is Good (feat. Drake),0.676,0.609,2,-5.831,0,0.481,0.0706,0,0.152,0.508,142.037
I duckinf hatw you,0.671,0.962,4,-5.509,1,0.481,0.0729,0.00663,0.376,0.183,114.003
Cai de vagarinho até embaixo,0.94,0.44,11,-10.993,1,0.479,0.535,2.48E-06,0.106,0.869,130.271
Energy,0.747,0.571,11,-7.916,1,0.478,0.38,0,0.534,0.553,172.104
Anime Thighs,0.83,0.299,7,-17.113,1,0.476,0.169,0,0.0663,0.533,93.1
What A Shame,0.699,0.463,0,-7.828,1,0.475,0.315,0,0.0803,0.565,143.99
Cat Girls Are Ruining My Life!,0.644,0.883,1,-6.985,1,0.473,0.0119,0,0.377,0.522,164.158
Sakatat,0.857,0.545,4,-7.3,0,0.472,0.487,0.0152,0.337,0.57,107.038
MLK Interlude,0.649,0.429,10,-8.428,0,0.468,0.386,0,0.311,0.426,100.389
Pop Out (feat. Lil Tjay),0.772,0.639,1,-7.119,1,0.467,0.15,0,0.0698,0.261,168.112
TKN (feat. Travis Scott),0.776,0.509,0,-6.266,0,0.467,0.192,1.49E-06,0.115,0.485,94.634
PEPPERMINT,0.901,0.536,2,-9.075,0,0.467,0.0312,0,0.0932,0.252,132.035
Candy Shop,0.614,0.574,11,-7.961,1,0.466,0.0253,3.20E-05,0.38,0.755,125.173
Marché noir,0.42,0.553,0,-8.588,0,0.466,0.406,0.00197,0.541,0.198,80.118
Youngblood,0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274
Youngblood,0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274
boyfriend (with Social House),0.4,0.795,10,-3.731,0,0.461,0.119,0,0.159,0.702,190.097
The Race,0.766,0.606,9,-6.064,1,0.456,0.00266,0,0.166,0.352,160.223
